;NH4;NO3;N_s;N_f;D
0;0.0;0.0;0.0;1000.0;0.0
1;2.995965954356927;133.46747997871623;1220.5674747780386;1020.546972352277;0.09810900118555774
2;6.34924391110979;195.3574027108594;1248.9004630866987;1045.4867770681165;0.10841032276134335
3;6.561830937196917;196.2523032459283;1280.16161126654;1070.9145012668314;0.10883075556448167
4;6.529739014387594;183.2219660889793;1311.4819312594145;1097.2663218205555;0.10898274463226099
5;6.503781656095158;176.472778066042;1343.3170432875688;1123.9719620814312;0.10941600397642963
6;6.4994363670230095;180.98970832853274;1374.9218119565367;1150.2598923916714;0.10978164276262349
7;6.43931028441993;193.80133759904555;1406.2854874176123;1176.186720772713;0.11063292912490047
8;5.988973248788513;198.27338589522194;1437.4464510886305;1202.14317513195;0.11432906045474228
9;5.3489932654384145;199.49961507869105;1468.6291707869227;1228.2116251786817;0.11953806446280738
10;5.229072797485358;180.05881072161526;1502.5764232431231;1257.123956682684;0.12228430117990552
11;5.354453786966865;146.695516195771;1538.2263550086395;1287.822532580977;0.12410692141058252
12;5.317724814971406;124.43509939971268;1575.7756013249534;1319.9433479888455;0.12708716582470195
13;5.19052798801785;110.34885893117928;1614.992603886972;1353.2876814269785;0.13055746265323517
14;5.003538688077118;104.95230263507092;1655.5471656689729;1387.4610915082167;0.133870459030002
15;5.140076674713479;105.79167421787781;1697.434904338604;1422.4297714571126;0.13129288248624596
16;5.31606911597059;110.11186811979093;1740.2774072802542;1458.01990395622;0.12786230020385103
17;4.781887278155821;113.22217504507327;1783.3504581124655;1493.9479982657876;0.13643692202723176
18;3.9871228295014385;116.36451391657691;1826.753312426772;1530.3530614821698;0.14704774618205377
19;3.9051916753618707;123.6639343507192;1871.4470239773168;1567.8309620893706;0.14011372460507937
20;4.089073704271825;130.00102059024945;1917.606304178982;1606.1154033084135;0.13212681895414277
21;4.392401739614601;144.73733488971848;1964.085441172861;1644.382102044792;0.12594280449377235
22;4.6164584599515885;160.83971363732462;2010.7327446648235;1682.8429231715158;0.12220408579678206
23;4.563531495801367;169.33873096987074;2057.5306865422117;1721.823856431962;0.12466161443744077
24;4.317604847628248;166.60603103372839;2104.9565226377003;1761.6044978115244;0.13151051585389337
25;4.066218933567588;159.41283557419555;2153.704315319062;1802.6705160022802;0.13813563836264453
26;3.93892198649006;152.70015687773244;2203.3705149771263;1844.5044400290788;0.14136349666001471
27;4.171710699851819;143.55565575467423;2255.5245510387867;1888.41749303867;0.13429831273762102
28;4.139272496759534;133.8954926645684;2310.0868031363716;1934.5657707224755;0.14258300631635826
29;4.1848661350031255;125.60760397794722;2366.339718231306;1981.9985249388624;0.14080083936549756
30;4.312659495475275;120.78701737489692;2423.868694858951;2030.300646020054;0.13147876309617812
31;4.473806809117579;130.3959182089187;2483.603170132093;2079.9213023246753;0.12531662333111682
32;4.402591822324568;137.44665541637033;2544.2533258022063;2130.4415129822028;0.12626809462078045
33;4.057100217337425;140.3980717890007;2605.4864522305406;2181.6959974116844;0.13520989772156325
34;3.1477023387853778;133.418288279121;2667.343556949835;2234.123155707434;0.16027539189417583
35;4.265548714143038;141.17146275035492;2731.359693339582;2286.845608705421;0.13224312965358445
36;4.600197467881692;159.40169978149805;2796.0068536559843;2340.1553910499083;0.12308054468115638
37;4.515325107467877;150.52435449964912;2860.781154376628;2394.437740879457;0.12586790529010966
38;4.601823876864402;134.55419031282585;2926.051702536682;2449.6739083329453;0.13706490074735767
39;5.304855658715642;142.77846803243224;2993.4825042094058;2505.47101500444;0.13237612138155586
40;5.792995997749535;152.99969637231973;3061.7428438698607;2561.986532987011;0.1254086215724798
41;5.518361989410248;150.0207609015746;3130.291558033409;2619.358388579717;0.13224870728359014
42;4.981816687065188;140.22055453583093;3199.3616382058167;2677.529921260672;0.1447318173247719
43;4.24808671463368;132.89979032115517;3269.3944346021494;2736.8218158899476;0.16424313149452902
44;2.8059956115363485;126.2365608984582;3340.5283260783235;2797.6087406485062;0.20643996805714557
45;2.077095946065886;123.79294079374253;3413.726278462054;2859.8350272954267;0.2370108396465356
46;2.6547694608411905;127.45465928211902;3490.353989809995;2923.51597749987;0.22743061299785403
47;2.951867963096331;128.31399259958556;3568.4865924938963;2988.4558178529446;0.2198652827179818
48;2.60020139312536;125.90090415409333;3647.0133830490286;3054.438024862525;0.23251336946851425
49;2.1753220874288965;120.44143556611922;3726.5365808975957;3121.832848185784;0.2510703911713621
50;2.58543431048223;113.16983924678485;3808.429572744425;3190.590691799179;0.23800918358236084
51;2.5919278916942745;112.27180220287708;3893.0965877316976;3261.5219744204237;0.23587379183597013
52;2.7180506424725484;111.11450536985213;3979.2372124278277;3333.6160889837956;0.2286906016273968
53;3.0478932489694097;109.03813891638751;4067.1569365425644;3407.1049572281977;0.2132598320179666
54;3.3674224978414906;114.12398597185512;4158.479356236835;3482.9523670108942;0.19964984958027357
55;3.4401503648745906;117.09913347616201;4250.31973378396;3559.539697993723;0.19457594489210542
56;2.929000844165932;113.48920577339592;4342.871356971322;3637.6601417781458;0.20855568210778103
57;2.0897172836413103;104.78689344223969;4436.713361816617;3718.1466173101203;0.2285855631295522
58;3.0375510179271408;105.62733265907933;4535.1251914702625;3799.8374179397506;0.1831457966724883
59;4.796914595715691;121.95959542072423;4638.534578182697;3883.3621721084546;0.14510442752384634
60;5.435656117148864;133.856597832837;4742.329074728493;3968.979175498218;0.13306497029247263
61;5.83819916025856;152.76712076694517;4848.475491984644;4056.809572528522;0.13296741246627938
62;6.135723628903408;181.05876193223978;4957.414544294656;4146.807835252056;0.1388504549789202
63;5.550779735635687;181.81039367968881;5066.82594355165;4238.314441765948;0.14365420495598183
64;4.979145887575627;159.0680023308226;5176.8342428642345;4331.301905422024;0.15048971417795012
65;4.702716383191487;145.87317555297545;5289.111392670969;4426.079160861095;0.15454014436636093
66;3.9610263902285534;134.86914632433076;5403.167985213143;4522.926663343442;0.17123121265978508
67;2.5963055077837582;124.65303453991288;5518.915058620671;4622.019408431451;0.205116548723543
68;1.7336063295428632;114.91623856315874;5636.685049788274;4723.142117141014;0.2437059477669362
69;2.2111767398041526;99.86834020316358;5757.54308974041;4826.078395442855;0.25951078211052475
70;2.7209641462377085;86.07136966380517;5881.873748480415;4930.689309045602;0.25502295556936705
71;2.7874617341823185;80.66805831035768;6007.8898748206575;5037.138189942264;0.24633414245601992
72;3.2356227972901506;85.81042373518329;6138.47194543472;5145.514812806715;0.22679863532268288
73;5.061614967245246;116.78015148287166;6277.903356855509;5256.417089031086;0.17406234751448832
74;7.072225112171168;163.0797762056235;6421.4034400757755;5371.429594528875;0.1402166414731943
75;7.8852046566110685;196.82593908353152;6565.305297053994;5490.176558233534;0.14022875133171786
76;7.673509581740583;216.0131231455879;6711.134615154944;5611.6600030780055;0.14839154963666698
77;7.546638539430512;219.58935498936626;6859.566729433884;5735.547864320524;0.151389009411043
78;6.68024630294936;232.62881249619747;7012.38729959872;5863.5186927699515;0.16593474397610694
79;4.891577998985547;253.5241730494731;7169.848085325198;5995.962430426234;0.2075070214251854
80;2.49534073886626;252.68628783526762;7330.453675696771;6132.0108649670865;0.2942536953620949
81;1.8579926120195662;221.2678970025945;7493.138507684593;6269.882812207052;0.34041329918328267
82;1.0132009945449265;192.44746698853893;7656.596962178244;6409.322240142669;0.4128213477376555
83;1.1052917339183959;163.1789674703982;7823.051916635871;6551.438407343626;0.43179923089622946
84;1.9621411033759286;133.51639889794825;7994.814681848334;6696.306307135045;0.3537050471344256
85;2.0789530452921268;106.40466057351529;8166.0964523922585;6842.915623865409;0.3290637807805521
86;1.4655847928522658;85.88868734292038;8336.352580712668;6992.705321336461;0.37195945691155885
87;1.089578497596602;69.47109414124236;8508.567043163588;7145.506298677201;0.42566344650110494
88;2.612936818639647;69.44498296101587;8699.632515887724;7303.052059908469;0.34750261819072337
89;4.397068176513132;87.34620462932122;8909.633376286964;7467.479305447706;0.22406864082875488
90;5.493617145082398;97.29885252437431;9117.124219053905;7635.85033748039;0.1761073083890322
91;6.342942963688784;102.35842242146111;9323.885785816252;7806.767722781668;0.15871377085519975
92;6.349135419470549;114.21470445314478;9533.088134405494;7980.288116532891;0.16331751996297414
93;6.283523692385207;153.9175170820958;9749.650515910613;8157.1457173668705;0.17039825123569077
