farm;lat;lon;fw;Nf;Ns
596;43.588000;-6.2600000;1195.07;42917.9;93024.3
597;38.858000;1.2600000;1194.62;42901.7;64453.0
598;43.588000;-5.9700000;1194.23;42887.6;90546.9
599;37.338000;10.440000;1193.89;42875.4;77224.4
600;31.388000;32.190000;1191.67;42796.0;95065.5
601;43.458000;4.2600000;1190.28;42746.0;94372.1
602;36.898000;4.7500000;1190.24;42744.4;80798.4
603;42.068000;3.2200000;1188.94;42697.9;61095.5
604;31.318000;32.170000;1188.84;42694.1;94865.4
605;43.248000;-9.0100000;1184.95;42554.4;88726.4
606;41.268000;1.9600000;1183.37;42497.9;88654.6
607;43.368000;-3.1500000;1181.61;42434.6;92511.9
608;37.568000;12.620000;1178.62;42327.1;81246.9
609;37.058000;-8.7600000;1178.43;42320.5;94305.0
610;37.638000;12.610000;1178.22;42312.8;58278.6
611;42.328000;3.3300000;1177.87;42300.3;91884.7
612;36.728000;-2.1500000;1177.38;42282.7;92085.4
613;37.158000;10.800000;1175.61;42219.2;77316.3
614;37.078000;-8.6900000;1173.13;42129.9;93834.1
615;39.718000;26.160000;1172.50;42107.4;88213.6
616;38.658000;1.5900000;1172.31;42100.8;62587.7
617;42.658000;-8.8200000;1172.10;42092.9;61827.5
618;39.038000;1.2900000;1171.27;42063.1;73939.2
619;43.518000;-8.3300000;1169.11;41985.5;84469.0
620;42.218000;3.1200000;1169.08;41984.6;64667.6
621;39.098000;1.4200000;1168.36;41958.8;54276.2
622;43.468000;4.2000000;1167.04;41911.4;92479.0
623;36.708000;34.880000;1164.45;41818.4;92575.6
624;43.818000;-1.4400000;1163.92;41799.4;92318.2
625;37.468000;8.6400000;1162.96;41764.8;82450.1
626;37.118000;-8.6300000;1161.15;41699.7;91852.5
627;43.458000;-2.7900000;1159.49;41640.2;90099.4
628;43.318000;-2.2800000;1158.84;41616.8;88827.2
629;39.358000;-0.29000000;1158.45;41602.9;40171.0
630;43.658000;-1.4500000;1158.40;41600.9;91914.4
631;37.648000;-8.8200000;1157.93;41584.2;84650.3
632;43.718000;-1.4600000;1157.28;41560.7;91821.8
633;41.148000;1.4200000;1157.07;41553.1;83877.2
634;41.128000;1.3600000;1156.09;41518.3;85954.7
635;36.878000;4.8200000;1155.69;41503.6;76552.5
636;41.348000;2.1600000;1154.42;41458.0;86652.2
637;42.348000;3.2700000;1153.22;41415.0;87762.2
638;31.588000;32.070000;1153.19;41414.0;91279.1
639;31.448000;32.190000;1152.86;41401.9;91888.0
640;43.588000;-6.9200000;1151.62;41357.6;90469.5
641;31.558000;30.650000;1150.93;41332.6;91979.7
642;37.638000;12.490000;1150.51;41317.6;80847.3
643;37.458000;8.7100000;1149.46;41279.9;77936.2
644;43.378000;-3.0900000;1147.12;41196.0;89904.1
645;43.318000;-2.0900000;1146.97;41190.4;87259.5
646;37.098000;-8.4800000;1146.92;41188.7;91383.3
647;43.478000;-3.9400000;1146.80;41184.4;89260.0
648;37.548000;12.680000;1145.92;41153.0;84089.3
649;37.568000;8.9600000;1144.73;41110.0;73536.4
650;43.178000;3.2600000;1144.05;41085.8;88988.2
651;41.698000;-8.7900000;1143.79;41076.2;88978.6
652;44.018000;-1.3800000;1143.09;41051.2;90370.5
653;37.508000;11.790000;1142.99;41047.7;75246.0
654;38.778000;0.23000000;1142.86;41043.0;59335.5
655;37.938000;15.710000;1142.28;41022.0;85689.1
656;41.548000;2.4700000;1142.01;41012.5;62730.9
657;43.508000;-3.8100000;1141.40;40990.5;88737.2
658;37.208000;10.380000;1141.01;40976.6;83782.8
659;40.788000;25.880000;1139.28;40914.5;63752.5
660;36.768000;34.730000;1138.49;40886.1;85274.6
661;38.158000;-0.44000000;1137.71;40858.0;56344.1
662;38.588000;-0.050000000;1137.01;40832.8;54696.3
663;39.848000;25.930000;1136.04;40797.9;85117.1
