date;Ammonium;Nitrate;Temperature;northward_Water_current;eastward_Water_current;par;ocean_mixed_layer_thickness
2020-05-08;--;--;--;--;--;20.122223;10.4000244140625
2020-05-09;--;--;--;--;--;21.754454;10.4000244140625
2020-05-10;--;--;--;--;--;53.557686;10.4000244140625
2020-05-11;--;--;--;--;--;39.404453;10.5
2020-05-12;--;--;--;--;--;46.47786;10.2999267578125
2020-05-13;--;--;--;--;--;53.26202;10.2999267578125
2020-05-14;--;--;--;--;--;41.7957;10.2999267578125
2020-05-15;--;--;--;--;--;47.87638;10.2999267578125
2020-05-16;--;--;--;--;--;30.994505;10.2999267578125
2020-05-17;--;--;--;--;--;25.114365;10.699951171875
2020-05-18;--;--;--;--;--;27.10335;10.2999267578125
2020-05-19;--;--;--;--;--;34.128048;10.2999267578125
2020-05-20;--;--;--;--;--;44.949245;10.4000244140625
2020-05-21;--;--;--;--;--;54.545753;11.699951171875
2020-05-22;--;--;--;--;--;21.033146;20.199951171875
2020-05-23;--;--;--;--;--;33.79733;15.5999755859375
2020-05-24;--;--;--;--;--;57.77991;10.2999267578125
2020-05-25;--;--;--;--;--;23.596228;10.2999267578125
2020-05-26;--;--;--;--;--;55.230892;10.2999267578125
2020-05-27;--;--;--;--;--;28.649172;10.2999267578125
2020-05-28;--;--;--;--;--;60.348488;10.2999267578125
2020-05-29;--;--;--;--;--;56.61333;10.4000244140625
2020-05-30;--;--;--;--;--;60.930984;10.5
2020-05-31;--;--;--;--;--;58.40964;10.4000244140625
2020-06-01;--;--;--;--;--;48.96991;10.2999267578125
2020-06-02;--;--;--;--;--;32.522408;10.2999267578125
2020-06-03;--;--;--;--;--;55.3217;10.2999267578125
2020-06-04;--;--;--;--;--;30.411129;10.699951171875
2020-06-05;--;--;--;--;--;54.00979;12.0
2020-06-06;--;--;--;--;--;13.510397;16.5
2020-06-07;--;--;--;--;--;28.204716;11.5
2020-06-08;--;--;--;--;--;47.680534;10.4000244140625
2020-06-09;--;--;--;--;--;31.029076;10.4000244140625
2020-06-10;--;--;--;--;--;32.933826;10.4000244140625
2020-06-11;--;--;--;--;--;61.801975;11.0
2020-06-12;--;--;--;--;--;62.130043;10.4000244140625
2020-06-13;--;--;--;--;--;39.07927;10.4000244140625
2020-06-14;--;--;--;--;--;36.81689;10.4000244140625
2020-06-15;--;--;--;--;--;23.72638;10.4000244140625
2020-06-16;--;--;--;--;--;30.61472;10.4000244140625
2020-06-17;--;--;--;--;--;28.802532;10.4000244140625
2020-06-18;--;--;--;--;--;35.66169;10.4000244140625
2020-06-19;--;--;--;--;--;22.176037;10.4000244140625
2020-06-20;--;--;--;--;--;30.109407;14.5999755859375
2020-06-21;--;--;--;--;--;40.976078;15.199951171875
2020-06-22;--;--;--;--;--;29.780071;20.0
2020-06-23;--;--;--;--;--;39.837296;11.4000244140625
2020-06-24;--;--;--;--;--;61.872677;10.4000244140625
2020-06-25;--;--;--;--;--;53.67215;10.4000244140625
2020-06-26;--;--;--;--;--;23.168293;10.4000244140625
2020-06-27;--;--;--;--;--;23.37549;10.5
2020-06-28;--;--;--;--;--;13.150426;15.0999755859375
2020-06-29;--;--;--;--;--;50.65109;15.9000244140625
2020-06-30;--;--;--;--;--;39.539673;10.2999267578125
2020-07-01;--;--;--;--;--;41.219692;10.2999267578125
2020-07-02;--;--;--;--;--;47.415462;10.2999267578125
2020-07-03;--;--;--;--;--;35.322517;10.9000244140625
2020-07-04;--;--;--;--;--;46.70007;11.199951171875
2020-07-05;--;--;--;--;--;55.371872;14.4000244140625
2020-07-06;--;--;--;--;--;48.79808;11.9000244140625
2020-07-07;--;--;--;--;--;61.22857;10.2999267578125
2020-07-08;--;--;--;--;--;36.56818;10.5999755859375
2020-07-09;--;--;--;--;--;37.705833;10.5999755859375
2020-07-10;--;--;--;--;--;43.91337;10.2999267578125
2020-07-11;--;--;--;--;--;30.621037;10.2999267578125
2020-07-12;--;--;--;--;--;13.34291;10.2999267578125
2020-07-13;--;--;--;--;--;57.851303;10.2999267578125
2020-07-14;--;--;--;--;--;15.874208;10.2999267578125
2020-07-15;--;--;--;--;--;45.848377;12.5999755859375
2020-07-16;--;--;--;--;--;17.157003;10.5999755859375
