date;Ammonium;Nitrate;Temperature;northward_Water_current;eastward_Water_current;ocean_mixed_layer_thickness;par;current_intensity
2020-03-03 12:00:00;7.0;184.79974;8.045;-3024.0;-5702.4;13.199951;0.23387182;6454.606
2020-03-04 12:00:00;7.0;177.79974;8.166;-432.00003;-10368.0;11.400024;0.29804623;10376.996
2020-03-05 12:00:00;8.400001;229.59991;7.943;-4924.8003;-8812.801;10.799927;0.23848763;10095.5
2020-03-06 12:00:00;8.400001;194.59991;8.059;-2937.6;86.4;16.099976;0.06557949;2938.8704
2020-03-07 12:00:00;7.0;165.19983;8.245;259.2;2678.4001;21.900024;0.2675823;2690.9128
2020-03-08 12:00:00;7.0;155.40009;8.299;-1728.0001;-345.6;27.099976;0.04947868;1762.2213
2020-03-09 12:00:00;7.0;152.59991;8.29;-777.60004;1641.6001;26.900024;0.13837954;1816.456
2020-03-10 12:00:00;7.0;152.59991;8.332;-432.00003;259.2;24.699951;0.3129627;503.79428
2020-03-11 12:00:00;7.0;152.59991;8.3029995;-1209.6001;2419.2002;25.599976;0.11755804;2704.748
2020-03-12 12:00:00;7.0;145.59991;8.285;-1728.0001;2937.6;39.900024;0.18357123;3408.1487
2020-03-13 12:00:00;7.0;144.19983;8.264999;518.4;-1641.6001;25.900024;0.072135754;1721.5079
2020-03-14 12:00:00;7.0;149.79974;8.25;-1900.8002;-1123.2001;17.699951;0.23615746;2207.854
2020-03-15 12:00:00;8.400001;170.79974;8.184;-3369.6;-6307.2007;12.900024;0.07438172;7150.873
2020-03-16 12:00:00;8.400001;189.0;8.123;-2592.0;-259.2;12.0;0.11794169;2604.9277
2020-03-17 12:00:00;8.400001;191.79974;8.184999;-1814.4001;518.4;13.799927;0.11588047;1887.0046
2020-03-18 12:00:00;8.400001;198.79974;8.155;518.4;-6393.6;11.699951;0.18061243;6414.582
2020-03-19 12:00:00;8.400001;218.40009;8.101;-1296.0;-8294.4;10.599976;0.15199779;8395.04
2020-03-20 12:00:00;8.400001;218.40009;8.091;-1641.6001;-7171.2;12.900024;0.08492764;7356.6953
2020-03-21 12:00:00;9.8;221.19983;8.091;259.2;-6739.2;14.299927;0.3403705;6744.183
2020-03-22 12:00:00;9.8;236.59991;8.128;4838.4004;-5702.4;11.400024;0.16928223;7478.468
2020-03-23 12:00:00;8.400001;194.59991;8.205;6134.4004;-432.00003;14.0;0.0731958;6149.593
2020-03-24 12:00:00;7.0;156.79974;8.263;3196.8;1296.0;18.699951;0.18881169;3449.514
2020-03-25 12:00:00;7.0;151.19983;8.384;1296.0;-691.2;15.900024;0.42520434;1468.8
2020-03-26 12:00:00;7.0;155.40009;8.548;1900.8002;-2764.8;12.199951;0.43383846;3355.1692
2020-03-27 12:00:00;7.0;182.0;8.601;2505.6;-3542.4001;10.400024;0.38398993;4338.967
2020-03-28 12:00:00;7.0;204.40009;8.6;1814.4001;-8208.001;10.400024;0.44245014;8406.148
2020-03-29 12:00:00;7.0;211.40009;8.458;-345.6;-8208.001;10.900024;0.24560082;8215.273
2020-03-30 12:00:00;7.0;240.79974;8.438;86.4;-7257.6006;10.400024;0.2993076;7258.1147
2020-03-31 12:00:00;7.0;247.79974;8.526;777.60004;-6134.4004;10.5;0.28536242;6183.4883
2020-04-01 12:00:00;7.0;246.40009;8.563;-345.6;-3888.0002;10.299927;0.3959764;3903.33
2020-04-02 12:00:00;5.6;221.19983;8.651;-3456.0002;950.4001;10.400024;0.3292068;3584.2988
2020-04-03 12:00:00;5.6;180.59991;8.763;-345.6;4406.4004;10.400024;0.25635105;4419.9326
2020-04-04 12:00:00;5.6;152.59991;8.732;6048.0;3196.8;13.400024;0.08355509;6840.8945
2020-04-05 12:00:00;7.0;130.19983;8.597;2764.8;691.2;28.599976;0.49178082;2849.8906
2020-04-06 12:00:00;8.400001;130.19983;8.689;-1036.8;-691.2;19.400024;0.49037373;1246.0786
2020-04-07 12:00:00;8.400001;127.400085;8.779;2419.2002;604.80005;12.599976;0.50278616;2493.6545
2020-04-08 12:00:00;7.0;127.400085;8.947;1728.0001;-2851.2;12.299927;0.24396561;3333.9656
2020-04-09 12:00:00;7.0;126.0;9.111;3888.0002;-2246.4001;11.599976;0.18251126;4490.307
2020-04-10 12:00:00;5.6;130.19983;9.124;2505.6;-2851.2;11.799927;0.5191044;3795.7046
2020-04-11 12:00:00;7.0;151.19983;9.502;345.6;-3110.4001;11.199951;0.10630914;3129.5413
2020-04-12 12:00:00;5.6;159.59991;9.61;-432.00003;-4752.0005;10.799927;0.5285924;4771.596
2020-04-13 12:00:00;8.400001;144.19983;9.077;1468.8;-2937.6;15.099976;0.53538156;3284.3367
2020-04-14 12:00:00;8.400001;137.19983;9.137;1555.2001;-950.4001;18.400024;0.5396721;1822.6101
2020-04-15 12:00:00;8.400001;123.19983;9.273;2246.4001;-518.4;17.5;0.18196759;2305.4397
2020-04-16 12:00:00;7.0;120.400085;9.394;2160.0;-1641.6001;14.599976;0.17250599;2713.0151
2020-04-17 12:00:00;7.0;116.19983;9.48;1555.2001;-1555.2001;15.900024;0.10233286;2199.385
2020-04-18 12:00:00;7.0;103.599915;9.5789995;2592.0;-864.00006;12.599976;0.1588298;2732.208
2020-04-19 12:00:00;8.400001;99.400085;9.667;3888.0002;-1296.0;13.199951;0.38774008;4098.312
2020-04-20 12:00:00;8.400001;107.79974;9.903;172.8;1209.6001;15.900024;0.19635382;1221.8806
2020-04-21 12:00:00;7.0;107.79974;10.005;-172.8;-259.2;12.0;0.5636931;311.51965
2020-04-22 12:00:00;7.0;105.0;10.118;1209.6001;-691.2;10.799927;0.34516767;1393.1582
2020-04-23 12:00:00;7.0;99.400085;10.334;1036.8;-777.60004;10.400024;0.58632004;1296.0001
2020-04-24 12:00:00;7.0;93.79974;10.575;1209.6001;-1555.2001;10.400024;0.37143752;1970.2233
2020-04-25 12:00:00;5.6;91.0;11.13;1036.8;-259.2;10.400024;0.2642465;1068.709
