date;Ammonium;Nitrate;Temperature;northward_Water_current;eastward_Water_current
2020-01-18;0.5;17.100006103515625;8.899999618530273;0.006000000052154064;-0.11300000548362732
2020-01-19;0.5;19.0;8.751999855041504;0.0020000000949949026;-0.09700000286102295
2020-01-20;0.5;19.699981689453125;8.753000259399414;0.0010000000474974513;-0.04100000113248825
2020-01-21;0.5;16.199981689453125;9.145999908447266;0.0;-0.02200000174343586
2020-01-22;0.5;15.899993896484375;9.222000122070312;0.0;-0.023000001907348633
2020-01-23;0.5;15.199981689453125;9.28600025177002;-0.0010000000474974513;-0.014000000432133675
2020-01-24;0.4000000059604645;13.29998779296875;9.397000312805176;-0.0010000000474974513;-0.007000000216066837
2020-01-25;0.4000000059604645;13.5;9.368999481201172;-0.0010000000474974513;0.018000001087784767
2020-01-26;0.4000000059604645;11.699981689453125;9.451000213623047;-0.006000000052154064;0.04000000283122063
2020-01-27;0.4000000059604645;8.899993896484375;9.586000442504883;-0.0020000000949949026;0.009000000543892384
2020-01-28;0.4000000059604645;8.699981689453125;9.524999618530273;-0.0020000000949949026;-0.010000000707805157
2020-01-29;0.4000000059604645;9.100006103515625;9.378999710083008;0.003000000026077032;-0.039000000804662704
2020-01-30;0.4000000059604645;9.899993896484375;9.234000205993652;0.006000000052154064;-0.07700000703334808
2020-01-31;0.4000000059604645;10.0;9.253000259399414;-0.004000000189989805;-0.009000000543892384
2020-02-01;0.4000000059604645;9.399993896484375;9.281999588012695;-0.0020000000949949026;0.0
2020-02-02;0.4000000059604645;9.600006103515625;9.211999893188477;0.0;-0.00800000037997961
2020-02-03;0.4000000059604645;9.600006103515625;9.168999671936035;-0.004000000189989805;-0.014000000432133675
2020-02-04;0.4000000059604645;9.699981689453125;9.10200023651123;0.004000000189989805;-0.03800000250339508
2020-02-05;0.4000000059604645;11.5;8.941999435424805;0.005000000353902578;-0.05700000375509262
2020-02-06;0.4000000059604645;11.899993896484375;8.904000282287598;0.003000000026077032;-0.04500000178813934
2020-02-07;0.5;11.600006103515625;8.918999671936035;-0.0020000000949949026;-0.018000001087784767
2020-02-08;0.5;10.699981689453125;8.970000267028809;-0.0020000000949949026;0.024000000208616257
2020-02-09;0.5;9.899993896484375;9.064000129699707;-0.0020000000949949026;0.039000000804662704
2020-02-10;0.5;9.600006103515625;9.001999855041504;-0.0020000000949949026;0.03400000184774399
2020-02-11;0.5;9.5;8.847000122070312;-0.0020000000949949026;0.015000000596046448
2020-02-12;0.5;9.600006103515625;8.723999977111816;0.0020000000949949026;-0.020000001415610313
2020-02-13;0.5;10.0;8.673999786376953;-0.0010000000474974513;-0.03800000250339508
2020-02-14;0.5;10.5;8.680000305175781;0.0010000000474974513;-0.021000001579523087
2020-02-15;0.5;10.600006103515625;8.692999839782715;0.0010000000474974513;0.004000000189989805
2020-02-16;0.5;10.199981689453125;8.664999961853027;-0.0020000000949949026;0.04100000113248825
2020-02-17;0.5;9.699981689453125;8.605999946594238;-0.0020000000949949026;0.02200000174343586
2020-02-18;0.5;9.79998779296875;8.527999877929688;-0.0020000000949949026;-0.009000000543892384
2020-02-19;0.5;10.199981689453125;8.482000350952148;0.0;-0.012000000104308128
2020-02-20;0.5;10.29998779296875;8.47700023651123;-0.004000000189989805;-0.003000000026077032
2020-02-21;0.5;10.0;8.484999656677246;-0.0010000000474974513;0.010000000707805157
2020-02-22;0.5;9.899993896484375;8.500999450683594;-0.0010000000474974513;0.003000000026077032
2020-02-23;0.6000000238418579;10.600006103515625;8.472999572753906;0.005000000353902578;-0.0560000017285347
2020-02-24;0.6000000238418579;11.399993896484375;8.444999694824219;-0.004000000189989805;-0.007000000216066837
2020-02-25;0.6000000238418579;10.699981689453125;8.440999984741211;-0.007000000216066837;0.01900000125169754
2020-02-26;0.6000000238418579;10.29998779296875;8.42300033569336;0.0020000000949949026;-0.05400000140070915
2020-02-27;0.699999988079071;14.399993896484375;8.116999626159668;0.01100000087171793;-0.125
2020-02-28;0.699999988079071;16.399993896484375;8.14799976348877;-0.0020000000949949026;-0.04400000348687172
2020-02-29;0.6000000238418579;11.5;8.347000122070312;-0.007000000216066837;0.04000000283122063
2020-03-01;0.6000000238418579;10.29998779296875;8.354999542236328;-0.0010000000474974513;-0.03100000135600567
2020-03-02;0.6000000238418579;12.29998779296875;8.154000282287598;-0.003000000026077032;-0.04700000211596489
2020-03-03;0.6000000238418579;14.699981689453125;8.003000259399414;0.003000000026077032;-0.0690000057220459
2020-03-04;0.699999988079071;18.5;7.861999988555908;0.004000000189989805;-0.09700000286102295
2020-03-05;0.800000011920929;19.79998779296875;7.84499979019165;-0.0010000000474974513;-0.06100000441074371
2020-03-06;0.5;12.399993896484375;8.168000221252441;-0.003000000026077032;-0.012000000104308128
2020-03-07;0.5;11.699981689453125;8.27299976348877;0.0;0.0020000000949949026
2020-03-08;0.5;11.100006103515625;8.315999984741211;-0.0020000000949949026;-0.006000000052154064
2020-03-09;0.5;11.100006103515625;8.291999816894531;0.0;-0.006000000052154064
2020-03-10;0.6000000238418579;11.399993896484375;8.305000305175781;0.0010000000474974513;-0.018000001087784767
2020-03-11;0.6000000238418579;11.79998779296875;8.255999565124512;-0.0020000000949949026;0.00800000037997961
2020-03-12;0.6000000238418579;10.899993896484375;8.25;-0.004000000189989805;0.020000001415610313
2020-03-13;0.6000000238418579;11.199981689453125;8.210000038146973;0.004000000189989805;-0.04700000211596489
2020-03-14;0.6000000238418579;12.199981689453125;8.168000221252441;-0.0020000000949949026;-0.026000000536441803
