"jday","par_GC"
1,89.0068820835642
2,89.765858106704
3,90.5905213145436
4,91.4734224172607
5,92.4202100996017
6,93.4452003973559
7,94.5569579092779
8,95.7507800406474
9,97.0130151450289
10,98.3374218842022
11,99.728221717476
12,101.19992253179
13,102.761646795792
14,104.412164005796
15,106.139287542307
16,107.939633027882
17,109.801170766915
18,111.736997165603
19,113.767426197285
20,115.894470749599
21,118.116029592332
22,120.406607317147
23,122.757591020392
24,125.187072432138
25,127.71512188309
26,130.338941914368
27,133.054351952316
28,135.850259499868
29,138.730633974983
30,141.673608647406
31,144.69430099283
32,147.815627736642
33,151.056130976277
34,154.378164462586
35,157.763220972656
36,161.221237317848
37,164.764340921744
38,168.394737638423
39,172.13063255129
40,175.964073323723
41,179.875163350913
42,183.842814814641
43,187.881365251141
44,192.00612076507
45,196.230226524196
46,200.559374658907
47,204.956376447673
48,209.416537872792
49,213.940035053062
50,218.525683486492
51,223.204123424556
52,227.990918697878
53,232.847484376909
54,237.752793570635
55,242.720115168612
56,247.733920181696
57,252.81382706013
58,258.006687635449
59,263.268657479149
60,268.569868497604
61,273.926589272642
62,279.313031944063
63,284.744499761088
64,290.273473077273
65,295.872192959771
66,301.507344842503
67,307.185588500617
68,312.878360011723
69,318.594160530986
70,324.386595396077
71,330.243385827723
72,336.136368167275
73,342.060012688723
74,347.984229011077
75,353.91106912721
76,359.886362380243
77,365.916065306643
78,371.981510503367
79,378.067436945247
80,384.142049855774
81,390.199742783907
82,396.276051124549
83,402.390676723721
84,408.537997150114
85,414.698721350157
86,420.838996113672
87,426.944972772922
88,433.040016646902
89,439.152166879238
90,445.289832568775
91,451.43594672615
92,457.555905611952
93,463.627347587799
94,469.660731573671
95,475.686529134053
96,481.725378093276
97,487.768539089187
98,493.783283770276
99,499.738883800126
100,505.633777345517
101,511.495099471361
102,517.35109935531
103,523.206707668548
104,529.034537401296
105,534.795882267974
106,540.480041938522
107,546.105943494859
108,551.702212882097
109,557.291606779979
110,562.855850246577
111,568.348451201529
112,573.754638999226
113,579.08194183063
114,584.349915314954
115,589.601938556919
116,594.83242190566
117,599.989492436828
118,605.053542139504
119,610.025465118951
120,614.914343937454
121,619.761840721619
122,624.591117084528
123,629.358252258819
124,634.01916509981
125,638.579816982735
126,643.044293201524
127,647.4411042761
128,651.79988959927
129,656.122641247093
130,660.345712081807
131,664.439496172354
132,668.428192198277
133,672.340617626435
134,676.198033528068
135,680.000102131387
136,683.734753810016
137,687.346969643485
138,690.823059180889
139,694.193739219898
140,697.510391931916
141,700.781233862194
142,703.973460646784
143,707.046242429388
144,709.988041931758
145,712.808735862396
146,715.549787832063
147,718.233077689872
148,720.853834170911
149,723.370703813372
150,725.74549709148
151,727.987302974376
152,730.127356683919
153,732.205060854403
154,734.225934038484
155,736.152126152602
156,737.942937607557
157,739.58603286557
158,741.110197252661
159,742.559424123943
160,743.954965931155
161,745.269434481007
162,746.460190431045
163,747.501171527309
164,748.40628352502
165,749.216920023505
166,749.96478640824
167,750.643403877158
168,751.213857136329
169,751.639676665522
170,751.92064218717
171,752.09188038666
172,752.191926893998
173,752.229825829199
174,752.175593520534
175,751.987158480246
176,751.648174520736
177,751.182753468748
178,750.633876880378
179,750.02491942587
180,749.338817719609
181,748.533516229907
182,747.579823403857
183,746.489667658622
184,745.302340616146
185,744.056481592189
186,742.746461999585
187,741.335179794931
188,739.784605173935
189,738.089402492313
190,736.281822728267
191,734.402891008341
192,732.470266657194
193,730.457476925205
194,728.325747421547
195,726.049479092884
196,723.648654109339
197,721.165724187762
198,718.636499456426
199,716.039132949288
200,713.338025614292
201,710.503243248105
202,707.540056245247
203,704.489439800194
204,701.379954695549
205,698.215984442113
206,694.974410571422
207,691.617659668191
208,688.126120539388
209,684.528151129055
210,680.874622389524
211,677.18824721035
212,673.432174646567
213,669.567017533529
214,665.584543175951
215,661.502672278035
216,657.346073264988
217,653.145723463617
218,648.910066243694
219,644.595385556395
220,640.160836659845
221,635.622135850063
222,631.011436727465
223,626.359997884981
224,621.677696063051
225,616.935523101413
226,612.105070997778
227,607.16787178596
228,602.151474848509
229,597.090920862075
230,592.012890516666
231,586.901127558705
232,581.70746488858
233,576.42953413839
234,571.073612313028
235,565.660877428316
236,560.238486885952
237,554.807097059448
238,549.315788278228
239,543.748765660961
240,538.116782628275
241,532.424079549471
242,526.71681965291
243,521.02342450223
244,515.293558173401
245,509.504447190161
246,503.665107339285
247,497.764049575648
248,491.846123119954
249,485.956426923383
250,480.052356527889
251,474.114126268517
252,468.138930611184
253,462.106990176167
254,456.061797665865
255,450.046175571021
256,444.038567307756
257,438.026305973727
258,431.991124437711
259,425.909950700873
260,419.820920753393
261,413.760749551044
262,407.725906661383
263,401.71506098614
264,395.699956095604
265,389.653325090807
266,383.606406222893
267,377.587272225555
268,371.606250045185
269,365.67352529784
270,359.758584409157
271,353.831883986673
272,347.911172302162
273,342.019956823555
274,336.176897134397
275,330.398082951878
276,324.66155063481
277,318.935174667181
278,313.224007746488
279,307.545643480981
280,301.920497740651
281,296.372759422123
282,290.888912586882
283,285.436462458557
284,280.013596191024
285,274.62754942273
286,269.295712386115
287,264.052108629698
288,258.888932170934
289,253.77759182588
290,248.711416766142
291,243.688182217039
292,238.722049019891
293,233.843699308104
294,229.060469539329
295,224.35077719519
296,219.69467731681
297,215.092591003333
298,210.552770574254
299,206.091515212862
300,201.73646226732
301,197.475216750327
302,193.273480355784
303,189.133348967459
304,185.066636151455
305,181.072819854499
306,177.175164090098
307,173.390973882091
308,169.684882098914
309,166.035014237758
310,162.456875572948
311,158.964577176115
312,155.560990888582
313,152.252336155875
314,149.054090238425
315,145.92530112285
316,142.853709038035
317,139.850834016803
318,136.957229333187
319,134.16018494223
320,131.452834629033
321,128.82292695242
322,126.269903386728
323,123.785145073183
324,121.377880907387
325,119.064384421001
326,116.853845950755
327,114.729524633984
328,112.671977534435
329,110.674190383052
330,108.753980361596
331,106.923124570804
332,105.183779960372
333,103.535058311596
334,101.953222170189
335,100.434138493365
336,98.983459191594
337,97.6101985956301
338,96.3243251106822
339,95.1226089734203
340,93.9952853818851
341,92.9289024493396
342,91.926848184547
343,90.994223346418
344,90.1435297281025
345,89.3767988784281
346,88.6836917005872
347,88.0506189757773
348,87.4726941043322
349,86.95785081634
350,86.519511826273
351,86.1644508198842
352,85.8892805306674
353,85.6778449607566
354,85.5208810048748
355,85.4218590294478
356,85.3935146728251
357,85.446435797733
358,85.5796144593291
359,85.7813692066539
360,86.0398274441125
361,86.3536430747691
362,86.7333413000643
363,87.1920455760529
364,87.7338667234852
365,88.3503212009118
