type;Parameter;Place;motu;service-id;product-id;longitude-min;longitude-max;latitude-min;latitude-max;resolution;level;first obs;last obs;source;variable;lien;mask;depth-min;depth-max;type
model;Salinity;BS;https://nrt.cmems-du.eu/motu-web/Motu;BLKSEA_ANALYSISFORECAST_PHY_007_001-TDS;bs-cmcc-sal-an-fc-d;27.25;42;40.5;47;2.5*2.5;4;01/01/2019;present;marineCopernicus;so;https://resources.marine.copernicus.eu/product-detail/BLKSEA_ANALYSISFORECAST_PHY_007_001/INFORMATION;0;0.5002;2258.9490;NetCDF
model;Salinity;MED;https://my.cmems-du.eu/motu-web/Motu;MEDSEA_MULTIYEAR_PHY_006_004-TDS;med-cmcc-sal-rean-d;-6;36.2917;30.1875;45.9792;4.2*4.2;4;01/01/1987;31/12/2019;marineCopernicus;so;https://resources.marine.copernicus.eu/product-detail/MEDSEA_MULTIYEAR_PHY_006_004/INFORMATION;0;1.0182;5754.0439;NetCDF
model;Salinity;MED;https://nrt.cmems-du.eu/motu-web/Motu;MEDSEA_ANALYSISFORECAST_PHY_006_013-TDS;med-cmcc-sal-an-fc-d;-17.2917;36.2917;30.1875;45.9792;4.2*4.2;4;01/05/2019;09/12/2021;marineCopernicus;so;https://resources.marine.copernicus.eu/product-detail/MEDSEA_ANALYSISFORECAST_PHY_006_013/INFORMATION;0;1.0182;5754.0439;NetCDF
model;Dissolved_oxygen;Baltic;https://nrt.cmems-du.eu/motu-web/Motu;BALTICSEA_ANALYSISFORECAST_BGC_003_007-TDS;dataset-bal-analysis-forecast-bio-dailymeans;9.0416;30.2087;53.0083;65.891;2*2;4;01/12/2018;present;marineCopernicus;o2;https://resources.marine.copernicus.eu/product-detail/BALTICSEA_ANALYSISFORECAST_BGC_003_007/INFORMATION;0;1;688;NetCDF
model;Dissolved_oxygen;NWS;https://my.cmems-du.eu/motu-web/Motu;NWSHELF_MULTIYEAR_BGC_004_011-TDS;cmems_mod_nws_bgc-o2_my_7km-3D_P1D-m ;-19.8889;12.9997;40.0667;65.0013;11.1*6.7;4;01/01/1993;30/06/2020;marineCopernicus;o2;https://resources.marine.copernicus.eu/product-detail/NWSHELF_MULTIYEAR_BGC_004_011/INFORMATION;0;0;5000;NetCDF
model;Dissolved_oxygen;NWS;https://nrt.cmems-du.eu/motu-web/Motu;NWSHELF_ANALYSISFORECAST_BGC_004_002-TDS;cmems_mod_nws_bgc-o2_anfc_7km-3D_P1D-m;-19.8889;12.9997;40.0667;65.0013;11.1*6.7;4;01/05/2019;present;marineCopernicus;o2 ;https://resources.marine.copernicus.eu/product-detail/NWSHELF_ANALYSISFORECAST_BGC_004_002/INFORMATION;0;0;5000;NetCDF
model;Dissolved_oxygen;IBI;https://nrt.cmems-du.eu/motu-web/Motu;IBI_ANALYSISFORECAST_BGC_005_004-TDS;cmems_mod_ibi_bgc_anfc_0.027deg-3D_P1D-m ;-19;5;26;56;2.8*2.8;4;16/11/2019;present;marineCopernicus;o2;https://resources.marine.copernicus.eu/product-detail/IBI_ANALYSISFORECAST_BGC_005_004/INFORMATION;0;0.4940;5727.9170;NetCDF
model;Dissolved_oxygen;MED;https://nrt.cmems-du.eu/motu-web/Motu;MEDSEA_ANALYSISFORECAST_BGC_006_014-TDS;med-ogs-bio-an-fc-m;-5.5417;36.2917;30.1875;45.9792;4.2*4.2;4;01/11/2019;present;marineCopernicus;o2;https://resources.marine.copernicus.eu/product-detail/MEDSEA_ANALYSISFORECAST_BGC_006_014/INFORMATION;0;1.0182;4152.8960;NetCDF
model;Dissolved_oxygen;BS;https://my.cmems-du.eu/motu-web/Motu;BLKSEA_REANALYSIS_BIO_007_005-TDS;bs-ulg-bio-rean-d;27.37;41.9626;40.86;46.8044;3.7*2.8;4;01/01/1992;31/12/2020;marineCopernicus;o2;https://resources.marine.copernicus.eu/product-detail/BLKSEA_REANALYSIS_BIO_007_005/INFORMATION;0;2.5011;2140.0208;NetCDF
model;Dissolved_oxygen;BS;https://nrt.cmems-du.eu/motu-web/Motu;BLKSEA_ANALYSIS_FORECAST_BIO_007_010-TDS;bs-ulg-bio-an-fc-d;27.37;41.9626;40.86;46.8044;3.7*2.8;4;30/11/2019;present;marineCopernicus;o2;https://resources.marine.copernicus.eu/product-detail/BLKSEA_ANALYSIS_FORECAST_BIO_007_010/INFORMATION;0;2.5011;2140.0208;NetCDF
